Sample in Buffer,Sample in Window,TRIGGER,design_1_i/processing_system7_0_M_AXI_GP0_WREADY,design_1_i/processing_system7_0_M_AXI_GP0_AWADDR[31:0],design_1_i/processing_system7_0_M_AXI_GP0_BRESP[1:0],design_1_i/processing_system7_0_M_AXI_GP0_BVALID,design_1_i/processing_system7_0_M_AXI_GP0_BREADY,design_1_i/processing_system7_0_M_AXI_GP0_ARADDR[31:0],design_1_i/processing_system7_0_M_AXI_GP0_RREADY,design_1_i/processing_system7_0_M_AXI_GP0_WVALID,design_1_i/processing_system7_0_M_AXI_GP0_ARVALID,design_1_i/processing_system7_0_M_AXI_GP0_ARREADY,design_1_i/processing_system7_0_M_AXI_GP0_RDATA[31:0],design_1_i/processing_system7_0_M_AXI_GP0_AWVALID,design_1_i/processing_system7_0_M_AXI_GP0_AWREADY,design_1_i/processing_system7_0_M_AXI_GP0_RRESP[1:0],design_1_i/processing_system7_0_M_AXI_GP0_WDATA[31:0],design_1_i/processing_system7_0_M_AXI_GP0_WSTRB[3:0],design_1_i/processing_system7_0_M_AXI_GP0_RVALID,design_1_i/processing_system7_0_M_AXI_GP0_ARPROT[2:0],design_1_i/processing_system7_0_M_AXI_GP0_AWPROT[2:0],design_1_i/processing_system7_0_M_AXI_GP0_AWID[11:0],design_1_i/processing_system7_0_M_AXI_GP0_BID[11:0],design_1_i/processing_system7_0_M_AXI_GP0_AWLEN[3:0],design_1_i/<const0>_1,design_1_i/processing_system7_0_M_AXI_GP0_AWSIZE[2:0],design_1_i/processing_system7_0_M_AXI_GP0_AWBURST[1:0],design_1_i/processing_system7_0_M_AXI_GP0_ARID[11:0],design_1_i/processing_system7_0_M_AXI_GP0_AWLOCK[1:0],design_1_i/processing_system7_0_M_AXI_GP0_ARLEN[3:0],design_1_i/processing_system7_0_M_AXI_GP0_ARSIZE[2:0],design_1_i/processing_system7_0_M_AXI_GP0_ARBURST[1:0],design_1_i/processing_system7_0_M_AXI_GP0_ARLOCK[1:0],design_1_i/processing_system7_0_M_AXI_GP0_ARCACHE[3:0],design_1_i/processing_system7_0_M_AXI_GP0_AWCACHE[3:0],design_1_i/<const0>_2,design_1_i/<const0>_3,design_1_i/<const0>_4,design_1_i/<const0>_5,design_1_i/processing_system7_0_M_AXI_GP0_ARQOS[3:0],design_1_i/<const0>_6,design_1_i/<const0>_7,design_1_i/processing_system7_0_M_AXI_GP0_AWQOS[3:0],design_1_i/processing_system7_0_M_AXI_GP0_RID[11:0],design_1_i/<const0>_8,design_1_i/processing_system7_0_M_AXI_GP0_RLAST,design_1_i/<const0>_9,design_1_i/processing_system7_0_M_AXI_GP0_WLAST,design_1_i/<const0>,design_1_i/processing_system7_0_M_AXI_GP0_WID[11:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
13,13,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
14,14,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
15,15,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
16,16,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
17,17,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
18,18,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
19,19,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
20,20,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
21,21,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
22,22,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
23,23,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
24,24,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
